level,notation,prefLabel,scopeNote
0,jskos,JSKOS API,Base URL of a JSKOS Server instance or another service following its semantics
0,skosmos,Skosmos API,Skosmos vocabulary information page without language code
0,reconciliation,Reconciliation,Reconciliation Service API endpoint
0,loc,Library of Congress,Vocabularies from Library of Congress Linked Data Service (id.loc.gov)
0,lod,Linked Open Data (LOD),Resolveable URI that returns or links vocabulary data in RDF
0,skohub,Skohub,Skohub vocabulary lookup API
0,sparql,SPARQL endpoint,Public SPARQL endpoint
1,mesh,MeSH SPARQL,SPARQL enpoint with Medical Subject Headings RDF vocabulary
0,mod,MOD-API,API for semantic artefact catalogues
0,tematres,TemaTres API,API of TemaTres vocabulary server
0,ols,Ontology Lookup Service (OLS),
0,ontoportal,OntoPortal,API of OntoPortal
0,opentheso,Opentheso,
0,sru,Search/Retrieve via URL (SRU),
0,oaipmh,OAI-PMH,
0,rss,RSS,
0,mycore,MyCoRE Classification API,
0,graphql,GraphQL,
0,noterms,Network of Terms,based on GraphQL
0,lobid-gnd,Lobid GND API,
0,webservice,Unspecified Webservice,Unspecified kind of webservice (JSON/XML...)
0,xtree,xTree API,
